[2019-12-23 13:07:22:0423] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 17:25:52:0231] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[20228]
[2019-12-23 17:26:10:0569] | GigEVisionManager.cpp-L2329: AppGetCount[245], AppGetCountSucceed[245], ExpectRecv[245], NetRecv[245], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 17:26:10:0692] | GigEVisionManager.cpp-L2329: AppGetCount[245], AppGetCountSucceed[245], ExpectRecv[245], NetRecv[245], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 17:26:10:0692] | GigEVisionManager.cpp-L0901: disconnect device ...
[2019-12-23 17:26:10:0692] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2019-12-23 17:26:10:0702] | GigEVisionManager.cpp-L2861: event thread stop
[2019-12-23 17:26:10:0709] | GigEVisionManager.cpp-L2329: AppGetCount[245], AppGetCountSucceed[245], ExpectRecv[245], NetRecv[245], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 17:26:11:0580] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2019-12-23 17:26:20:0124] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 17:26:20:0124] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 17:26:20:0124] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 17:26:20:0124] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 17:26:20:0124] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[65340], devIP[a9fe5400]
[2019-12-23 17:26:20:0126] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 17:26:20:0126] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 17:26:20:0137] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 17:26:20:0435] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 17:26:20:0541] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[15596]
[2019-12-23 17:26:32:0494] | GigEVisionManager.cpp-L2329: AppGetCount[158], AppGetCountSucceed[158], ExpectRecv[158], NetRecv[158], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 17:26:32:0552] | GigEVisionManager.cpp-L2329: AppGetCount[158], AppGetCountSucceed[158], ExpectRecv[158], NetRecv[158], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 17:26:32:0552] | GigEVisionManager.cpp-L0901: disconnect device ...
[2019-12-23 17:26:32:0552] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2019-12-23 17:26:32:0563] | GigEVisionManager.cpp-L2861: event thread stop
[2019-12-23 17:26:32:0566] | GigEVisionManager.cpp-L2329: AppGetCount[158], AppGetCountSucceed[158], ExpectRecv[158], NetRecv[158], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 17:26:32:0697] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2019-12-26 13:59:21:0648] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-26 13:59:21:0648] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-26 13:59:21:0649] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-26 13:59:21:0649] | GigEVisionManager.cpp-L0797: gvcp connect device fail! SetConnect NetExport[a9fe7b4f], devIP[c0a85803]
[2019-12-26 14:11:18:0328] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-26 14:11:18:0328] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-26 14:11:18:0329] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-26 14:11:18:0329] | GigEVisionManager.cpp-L0797: gvcp connect device fail! SetConnect NetExport[a9fe7b4f], devIP[c0a85803]
[2019-12-26 14:11:18:0332] | GigEVisionManager.cpp-L0739: connect device failed! [80000206]
[2019-12-26 14:11:18:0332] | GigEVisionManager.cpp-L0901: disconnect device ...
[2019-12-26 14:11:18:0336] | GigEVisionManager.cpp-L1876: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2019-12-26 14:11:18:0336] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
